U_diff		U_out
4.9		6.601965
4.6		6.590289
-0.1		6.406594
-3.3		6.281746
-5		6.21564
4		6.566861
5		6.605861
4.7		6.594187
-5		6.215801
-1.4		6.35586
-0.3		6.398836
4.2		6.574703
5		6.605864
-5		6.215746
-3.4		6.277799
5		6.605772
4		6.566835
-5		6.215756
-2.7		6.305071
-3.8		6.262229
-5		6.21569
0.1		6.414396
5		6.60577
0.1		6.414437
-3.5		6.273911
5		6.605778
-4.5		6.235086
-5		6.215658
5		6.60578
3.7		6.555084
-0.1		6.406542
3.4		6.543372
5		6.605788
0.7		6.437878
2.7		6.516085
5		6.605799
4.8		6.597951
4.7		6.5941
5		6.605755
4.9		6.601913
1.8		6.480908
1		6.449595
-0.3		6.398806
-1.3		6.359661
-3		6.293344
-4		6.254398
-5		6.215641
-4.9		6.219452
-3.9		6.258221
-3.8		6.262128
-2.6		6.30885
-2.3		6.320558
-1.5		6.351814
-1.1		6.367418
-0.7		6.383017
-0.2		6.402582
0.1		6.414318
0.4		6.426083
0.8		6.441715
1.3		6.461234
1.8		6.480854
2.3		6.50033
2.7		6.515983
3.3		6.539475
4		6.566826
4.7		6.594091
5		6.605794
4.9		6.601932
4.5		6.586376
4.3		6.578488
3.7		6.555089
2.4		6.504338
1.1		6.453487
-0.2		6.40261
-0.9		6.375299
-1.9		6.33617
-2.9		6.297177
-4.1		6.250558
-4.4		6.238862
-5		6.215567
-4.9		6.219369
-3		6.293215
-2.9		6.297117
-2		6.332159
-0.8		6.37899
0.6		6.433772
1.5		6.468977
2.7		6.515907
3.3		6.539311
3.9		6.562794
4.6		6.590066
4.8		6.597829
4.5		6.586208
3.9		6.562831
-1		6.371294
-3.4		6.277676
-5		6.215581
-4.9		6.219335
-4.8		6.223161
-4.5		6.234851
-4		6.254238
-3.9		6.258197
-3.6		6.269756
-2.7		6.304799
-2.1		6.328235
-1.7		6.343884
-1.3		6.359474
-1.2		6.36334
-1		6.371233
-0.7		6.382945
-0.5		6.390724
-0.3		6.398533
0		6.410284
0.4		6.425946
0.7		6.437639
1.2		6.457224
2.1		6.492418
2.8		6.519772
3.3		6.539311
4.2		6.574447
5		6.605626
3.3		6.539399
2.9		6.523718
1.3		6.4612
-2		6.332184
-3.3		6.281502
-4.9		6.219314
-5		6.215437
-4.9		6.218981
-4.8		6.222906
-4.7		6.226732
-4.6		6.230615
-4.5		6.234469
-4.4		6.238443
-4.3		6.242261
-4.2		6.246205
-4.1		6.250061
-4		6.253947
-3.9		6.25789
-3.8		6.261781
-3.7		6.265557
-3.6		6.269548
-3.5		6.273411
-3.4		6.277234
-3.3		6.28123
-3.2		6.285046
-3.1		6.288951
-3		6.292876
-2.9		6.296766
-2.8		6.300688
-2.7		6.304575
-2.6		6.308496
-2.5		6.312364
-2.4		6.316194
-2.3		6.320156
-2.2		6.324074
-2.1		6.327983
-2		6.33188
-1.9		6.33581
-1.8		6.339706
-1.7		6.343545
-1.6		6.347559
-1.5		6.351387
-1.4		6.355317
-1.3		6.359158
-1.1		6.366979
-0.9		6.374832
-0.6		6.386586
-0.4		6.394351
-0.2		6.402216
-0.1		6.406134
0.1		6.413893
0.3		6.421738
0.4		6.425661
0.5		6.429651
0.6		6.4335
0.7		6.437347
0.8		6.441341
0.9		6.44526
0.8		6.441379
0.7		6.437427
0.6		6.433561
0.5		6.429647
0.4		6.425712
0.3		6.421801
0.2		6.417944
0.1		6.41399
0		6.41013
-0.1		6.406188
-0.2		6.402257
-0.3		6.398384
-0.4		6.394413
-0.3		6.398319
-0.2		6.402266
-0.1		6.406167
0.1		6.41388
0.2		6.417867
0.3		6.421816
0.4		6.425711
0.5		6.429666
0.6		6.433484
0.7		6.437448
0.8		6.441374
0.9		6.445327
1		6.44923
1.1		6.453196
1.2		6.457092
1.3		6.461019
1.4		6.464872
1.5		6.468789
1.6		6.472764
1.7		6.476698
1.8		6.480558
1.9		6.484572
2		6.488424
2.1		6.492303
2.2		6.496239
2.3		6.500125
2.4		6.504131
2.5		6.507977
2.7		6.515812
2.9		6.523642
3		6.527579
3.1		6.531486
3.2		6.535324
3.3		6.539238
3.4		6.543209
3.5		6.547065
3.6		6.550963
3.7		6.554846
3.8		6.558693
3.9		6.562661
4		6.566508
4.1		6.570451
4.2		6.574333
4.3		6.578285
4.4		6.582224
4.5		6.586071
4.6		6.589967
4.7		6.593922
4.8		6.597766
4.7		6.593871
4.6		6.589982
4.4		6.582209
4		6.566615
3.8		6.558742
3.6		6.551039
3.5		6.547052
3.3		6.539314
3.2		6.535365
3.1		6.531492
3		6.527584
2.9		6.523612
2.8		6.519702
2.7		6.515841
2.6		6.511869
2.5		6.508037
2.4		6.504144
2.3		6.500193
2.2		6.496284
2.1		6.492377
2		6.488507
1.8		6.480615
1.5		6.468853
1.4		6.465014
1.2		6.457217
1.1		6.453286
1		6.449401
0.5		6.429839
0.4		6.425983
0.3		6.422036
0.2		6.418108
0.1		6.414196
0		6.41031
-0.1		6.406413
-0.2		6.402471
-0.4		6.394698
-0.5		6.390742
-0.7		6.38291
-1		6.371223
-1.2		6.363377
-1.4		6.355591
-1.5		6.35167
-1.7		6.343851
-1.8		6.34
-2		6.332114
-2.2		6.324342
-2.4		6.316541
-2.7		6.304844
-3		6.293132
-3.2		6.285345
-3.3		6.281473
-3.8		6.262002
-4.2		6.246495
-4.9		6.219332
-5		6.215486
